state,,deaths
Alabama,Alabama,591
,Alaska,10
Arizona,Arizona,857
Arkansas,Arkansas,125
California,California,4039
Colorado,Colorado,1421
Connecticut,Connecticut,3826
Delaware,Delaware,345
District of Columbia,District Of Columbia,453
Florida,Florida,2364
Georgia,Georgia,1973
Guam,Guam,5
,Hawaii,17
Idaho,Idaho,82
Illinois,Illinois,5186
Indiana,Indiana,2068
Iowa,Iowa,519
Kansas,Kansas,216
Kentucky,Kentucky,409
Louisiana,Louisiana,2745
,Maine,84
Maryland,Maryland,2428
Massachusetts,Massachusetts,6640
Michigan,Michigan,5372
Minnesota,Minnesota,977
Mississippi,Mississippi,693
Missouri,Missouri,715
,Montana,17
,Nebraska,164
Nevada,Nevada,410
New Hampshire,New Hampshire,232
New Jersey,New Jersey,11412
New Mexico,New Mexico,335
New York,New York,29653
North Carolina,North Carolina,868
,North Dakota,57
Ohio,Ohio,2110
Oklahoma,Oklahoma,326
Oregon,Oregon,151
Pennsylvania,Pennsylvania,5425
Puerto Rico,Puerto Rico,131
,Rhode Island,677
South Carolina,South Carolina,470
South Dakota,South Dakota,54
Tennessee,Tennessee,356
Texas,Texas,1623
Utah,Utah,106
Vermont,Vermont,55
Virginia,Virginia,1338
Washington,Washington,1105
,West Virginia,74
Wisconsin,Wisconsin,550
Wyoming,Wyoming,15
,,
,,
,,
,,
,,
,,
